convo_id,true_state,extracted_state,exact_match
6255,ny,ny,True
10571,ca,,False
6601,mi,,False
10451,tx,,False
10165,tx,,False
6131,ny,,False
3325,tx,,False
7749,ca,,False
1655,ny,,False
5714,ca,,False
7232,tx,,False
4889,tx,,False
6585,mi,,False
8732,tx,,False
10127,tx,tx,True
1656,mi,,False
830,ca,ca,True
9043,mi,,False
4019,tx,,False
6686,ny,,False
5563,ca,,False
9325,tx,,False
4195,wa,,False
9579,mi,,False
8137,tx,,False
9257,ny,ny,True
2941,tx,,False
4072,wa,wa,True
367,mi,,False
5531,tx,,False
8425,tx,,False
7836,mi,,False
3536,ny,ny,True
9144,ny,,False
215,ca,,False
6516,ny,,False
4593,ca,,False
5806,wa,,False
3585,ca,,False
2676,ny,,False
1087,ca,,False
6797,ca,,False
10362,tx,,False
838,mi,mi,True
1972,ca,ca,True
3644,ny,,False
1028,ca,,False
5796,ny,,False
3839,tx,tx,True
1045,ca,,False
1976,ca,,False
9268,ny,ny,True
3500,wa,,False
4685,ny,,False
8433,wa,,False
972,ca,ca,True
1540,ny,,False
6339,ca,,False
7066,tx,,False
4552,ca,,False
6657,wa,,False
1481,ca,,False
2160,tx,,False
2183,wa,,False
5626,ny,,False
1222,ca,,False
6780,mi,,False
5514,mi,,False
1913,tx,,False
210,ca,,False
6673,mi,,False
1213,mi,,False
10194,tx,,False
5731,mi,,False
6507,ny,,False
6537,ny,,False
1394,tx,,False
3440,mi,,False
8464,ca,,False
3176,mi,,False
4968,ca,,False
6886,wa,wa,True
6965,wa,,False
4197,mi,,False
4471,ca,,False
4428,wa,,False
9363,ny,,False
4947,mi,,False
573,mi,,False
7138,mi,,False
2704,wa,,False
6104,ca,,False
8375,wa,,False
5979,tx,,False
1466,tx,fl,False
2776,tx,,False
4719,ny,ny,True
295,mi,,False
8512,ca,,False
702,wa,,False
